id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
17703,11683,,,2015-10-16 14:10:45 UTC,2015-10-16 14:10:45 UTC,2023-10-26 21:09:34 UTC,other
17705,11697,,,2015-10-16 14:28:25 UTC,2015-10-16 14:28:25 UTC,2023-10-26 21:09:34 UTC,other
29581,20289,,,2015-11-13 22:32:38 UTC,2015-11-13 22:32:38 UTC,2023-10-26 21:18:12 UTC,other
30064,20530,,,2015-11-14 14:55:27 UTC,2015-11-14 14:55:27 UTC,2023-10-26 21:18:12 UTC,other
30070,18992,,,2015-11-14 15:04:03 UTC,2015-11-14 15:04:03 UTC,2023-10-26 21:17:15 UTC,other
31810,22146,,,2015-11-16 20:18:42 UTC,2015-11-16 20:18:42 UTC,2023-10-26 21:19:33 UTC,other
32006,22295,,,2015-11-16 22:32:55 UTC,2015-11-16 22:32:55 UTC,2023-10-26 21:19:34 UTC,other
32025,22305,,,2015-11-16 22:50:53 UTC,2015-11-16 22:50:53 UTC,2023-10-26 21:19:34 UTC,other
32127,22388,,,2015-11-17 00:27:53 UTC,2015-11-17 00:27:53 UTC,2023-10-26 21:19:44 UTC,other
32153,22405,,,2015-11-17 00:58:03 UTC,2015-11-17 00:58:03 UTC,2023-10-26 21:19:43 UTC,other
32197,22454,,,2015-11-17 02:00:26 UTC,2015-11-17 02:00:26 UTC,2023-10-26 21:19:43 UTC,other
32499,22667,,,2015-11-17 17:36:16 UTC,2015-11-17 17:36:16 UTC,2023-10-26 21:19:43 UTC,other
32503,22560,,,2015-11-17 17:55:31 UTC,2015-11-17 17:55:31 UTC,2023-10-26 21:19:50 UTC,other
32530,22694,,,2015-11-17 19:41:37 UTC,2015-11-17 19:41:37 UTC,2023-10-26 21:19:43 UTC,other
32531,22693,,,2015-11-17 19:41:37 UTC,2015-11-17 19:41:37 UTC,2023-10-26 21:19:43 UTC,other
32555,22700,,,2015-11-17 20:27:56 UTC,2015-11-17 20:27:56 UTC,2023-10-26 21:19:43 UTC,other
32589,22738,,,2015-11-17 21:42:20 UTC,2015-11-17 21:42:20 UTC,2023-10-26 21:17:05 UTC,other
32603,22756,,,2015-11-17 22:33:20 UTC,2015-11-17 22:33:20 UTC,2023-10-26 21:19:54 UTC,other
32621,22797,,,2015-11-17 23:09:29 UTC,2015-11-17 23:09:29 UTC,2023-10-26 21:19:42 UTC,other
32638,22818,,,2015-11-17 23:37:08 UTC,2015-11-17 23:37:08 UTC,2023-10-26 21:19:08 UTC,other
32640,22832,,,2015-11-17 23:44:44 UTC,2015-11-17 23:44:44 UTC,2023-10-26 21:19:08 UTC,other
32641,22840,,,2015-11-17 23:48:08 UTC,2015-11-17 23:48:08 UTC,2023-10-26 21:19:35 UTC,other
32649,22862,,,2015-11-18 00:28:38 UTC,2015-11-18 00:28:38 UTC,2023-10-26 21:17:06 UTC,other
32652,22865,,,2015-11-18 00:30:32 UTC,2015-11-18 00:30:32 UTC,2023-10-26 21:17:06 UTC,other
32662,22871,,,2015-11-18 00:49:53 UTC,2015-11-18 00:49:53 UTC,2023-10-26 21:17:06 UTC,other
32666,22869,,,2015-11-18 00:50:46 UTC,2015-11-18 00:50:46 UTC,2023-10-26 21:19:35 UTC,other
32668,22874,,,2015-11-18 00:54:36 UTC,2015-11-18 00:54:36 UTC,2023-10-26 21:19:56 UTC,other
32677,22879,,,2015-11-18 01:06:01 UTC,2015-11-18 01:06:01 UTC,2023-10-26 21:19:56 UTC,other
32941,22883,,,2015-11-18 14:59:55 UTC,2015-11-18 14:59:55 UTC,2023-10-26 21:19:56 UTC,other
