id,post_id,post_action_type,created_at,updated_at,deleted_at,deleted_by,related_post_id
4322866,1701774,#<PostActionType:0x00007f692b48a3c8>,2018-02-20 04:35:46 UTC,2018-02-20 04:35:46 UTC,2018-02-20 23:29:38 UTC,self,
4322867,1701775,#<PostActionType:0x00007f692b48a288>,2018-02-20 04:35:58 UTC,2018-02-20 04:35:58 UTC,2018-02-21 17:37:23 UTC,self,
4322868,1701772,#<PostActionType:0x00007f692b48a148>,2018-02-20 04:36:03 UTC,2018-02-20 04:36:03 UTC,2018-02-21 17:37:23 UTC,self,
4326396,1702267,#<PostActionType:0x00007f692b48a008>,2018-02-20 22:35:16 UTC,2018-02-20 22:35:16 UTC,,,
4326526,1678995,#<PostActionType:0x00007f692b489ec8>,2018-02-20 22:50:53 UTC,2018-02-20 22:50:53 UTC,,,
4326532,1681544,#<PostActionType:0x00007f692b489d88>,2018-02-20 22:51:10 UTC,2018-02-20 22:51:10 UTC,,,
4326739,1703206,#<PostActionType:0x00007f692b489c48>,2018-02-20 23:27:37 UTC,2018-02-20 23:27:37 UTC,2018-02-21 17:37:24 UTC,self,
4327328,1703528,#<PostActionType:0x00007f692b489b08>,2018-02-21 02:33:03 UTC,2018-02-21 02:33:03 UTC,2018-02-21 17:37:24 UTC,self,
4327331,1703527,#<PostActionType:0x00007f692b4899c8>,2018-02-21 02:34:02 UTC,2018-02-21 02:34:02 UTC,2018-02-21 02:34:13 UTC,self,
4332178,1008766,#<PostActionType:0x00007f692b489888>,2018-02-22 04:22:07 UTC,2018-02-22 04:22:07 UTC,2018-03-01 06:28:08 UTC,self,
4347705,1712674,#<PostActionType:0x00007f692b489748>,2018-02-25 07:07:18 UTC,2018-02-25 07:07:18 UTC,2018-02-26 15:51:17 UTC,self,
4347755,1712740,#<PostActionType:0x00007f692b489608>,2018-02-25 07:19:31 UTC,2018-02-25 07:19:31 UTC,,,
4368882,1707456,#<PostActionType:0x00007f692b4894c8>,2018-03-01 06:27:41 UTC,2018-03-01 06:27:41 UTC,2018-03-01 06:27:41 UTC,self,
4394341,1729616,#<PostActionType:0x00007f692b489388>,2018-03-06 07:23:25 UTC,2018-03-06 07:23:25 UTC,,,
4396207,1729603,#<PostActionType:0x00007f692b489248>,2018-03-06 21:14:16 UTC,2018-03-06 21:14:16 UTC,2020-10-26 10:28:31 UTC,other,
4403192,1439865,#<PostActionType:0x00007f692b489108>,2018-03-08 03:21:12 UTC,2018-03-08 03:21:12 UTC,2018-07-07 19:37:53 UTC,other,
4404237,1733725,#<PostActionType:0x00007f692b488fc8>,2018-03-08 06:05:26 UTC,2018-03-08 06:05:26 UTC,2020-10-26 10:26:05 UTC,other,
4404238,1733726,#<PostActionType:0x00007f692b488e88>,2018-03-08 06:05:33 UTC,2018-03-08 06:05:33 UTC,2018-03-08 06:06:05 UTC,self,
4407039,1224683,#<PostActionType:0x00007f692b488d48>,2018-03-08 22:42:20 UTC,2018-03-08 22:42:20 UTC,2018-03-08 22:43:26 UTC,self,
4407052,29995,#<PostActionType:0x00007f692b488c08>,2018-03-08 22:44:52 UTC,2018-03-08 22:44:52 UTC,2018-03-08 22:44:53 UTC,self,
4432927,1743948,#<PostActionType:0x00007f692b488ac8>,2018-03-14 18:22:37 UTC,2018-03-14 18:22:37 UTC,,,
4904296,1910795,#<PostActionType:0x00007f692b488988>,2018-08-22 06:22:47 UTC,2018-08-22 06:22:47 UTC,2018-09-21 13:07:09 UTC,other,
4904360,1910801,#<PostActionType:0x00007f692b488848>,2018-08-22 06:44:51 UTC,2018-08-22 06:44:51 UTC,,,
4904363,1910809,#<PostActionType:0x00007f692b488708>,2018-08-22 06:44:59 UTC,2018-08-22 06:44:59 UTC,,,
4904365,1910811,#<PostActionType:0x00007f692b4885c8>,2018-08-22 06:45:05 UTC,2018-08-22 06:45:05 UTC,,,
5029938,1964920,#<PostActionType:0x00007f692b488488>,2018-10-10 08:08:57 UTC,2018-10-10 08:08:57 UTC,,,
5037327,1969469,#<PostActionType:0x00007f692b488348>,2018-10-12 10:36:25 UTC,2018-10-12 10:36:25 UTC,2018-10-12 10:36:26 UTC,self,
5054372,1734418,#<PostActionType:0x00007f692b488208>,2018-10-17 05:57:45 UTC,2018-10-17 05:57:45 UTC,2019-06-23 04:21:56 UTC,other,
5087522,1990972,#<PostActionType:0x00007f692b4880c8>,2018-10-28 08:09:32 UTC,2018-10-28 08:09:32 UTC,2018-10-29 18:01:24 UTC,other,
5093993,1993577,#<PostActionType:0x00007f692b487f88>,2018-10-30 10:56:28 UTC,2018-10-30 10:56:28 UTC,,,
5093994,1993578,#<PostActionType:0x00007f692b487e48>,2018-10-30 10:58:00 UTC,2018-10-30 10:58:00 UTC,,,
5099106,1986075,#<PostActionType:0x00007f692b487d08>,2018-11-01 09:41:08 UTC,2018-11-01 09:41:08 UTC,,,
5164738,2029745,#<PostActionType:0x00007f692b487bc8>,2018-11-19 06:37:48 UTC,2018-11-19 06:37:48 UTC,,,
5549861,1723003,#<PostActionType:0x00007f692b487a88>,2019-03-09 01:06:50 UTC,2019-03-09 01:06:50 UTC,2019-03-09 01:06:54 UTC,self,
5549863,1723002,#<PostActionType:0x00007f692b487948>,2019-03-09 01:06:59 UTC,2019-03-09 01:06:59 UTC,,,
5856528,2346843,#<PostActionType:0x00007f692b487808>,2019-05-06 22:38:43 UTC,2019-05-06 22:38:43 UTC,,,
5857929,2347400,#<PostActionType:0x00007f692b4876c8>,2019-05-07 05:00:51 UTC,2019-05-07 05:00:51 UTC,,,
5925283,1246320,#<PostActionType:0x00007f692b487588>,2019-05-25 18:57:56 UTC,2019-05-25 18:57:56 UTC,2019-05-25 18:58:06 UTC,self,
6059721,2420153,#<PostActionType:0x00007f692b487448>,2019-07-19 16:18:27 UTC,2019-07-19 16:18:27 UTC,2019-07-19 18:28:23 UTC,self,
6081301,2437091,#<PostActionType:0x00007f692b487308>,2019-07-27 21:36:57 UTC,2019-07-27 21:36:57 UTC,,,
6110112,2444416,#<PostActionType:0x00007f692b4871c8>,2019-08-08 21:56:04 UTC,2019-08-08 21:56:04 UTC,2019-08-09 18:37:44 UTC,self,
6112679,2445045,#<PostActionType:0x00007f692b487088>,2019-08-09 18:37:51 UTC,2019-08-09 18:37:51 UTC,,,
6113354,2445261,#<PostActionType:0x00007f692b486f48>,2019-08-09 22:32:58 UTC,2019-08-09 22:32:58 UTC,,,
6114604,2445611,#<PostActionType:0x00007f692b486e08>,2019-08-10 14:21:07 UTC,2019-08-10 14:21:07 UTC,,,
6120413,2447143,#<PostActionType:0x00007f692b486cc8>,2019-08-12 01:37:26 UTC,2019-08-12 01:37:26 UTC,,,
6121916,2447710,#<PostActionType:0x00007f692b486b88>,2019-08-12 22:06:42 UTC,2019-08-12 22:06:42 UTC,,,
6126183,2449047,#<PostActionType:0x00007f692b486a48>,2019-08-14 20:40:11 UTC,2019-08-14 20:40:11 UTC,,,
6127620,2449508,#<PostActionType:0x00007f692b486908>,2019-08-15 16:27:19 UTC,2019-08-15 16:27:19 UTC,,,
6128496,2449813,#<PostActionType:0x00007f692b4867c8>,2019-08-16 03:56:53 UTC,2019-08-16 03:56:53 UTC,,,
6131140,2450330,#<PostActionType:0x00007f692b486688>,2019-08-17 02:14:25 UTC,2019-08-17 02:14:25 UTC,2019-08-17 02:14:25 UTC,self,
