id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
82524,50828,4194,4,2015-12-30 16:03:46 UTC,2015-12-30 16:03:46 UTC,,
82541,49020,4120,1,2015-12-30 16:10:09 UTC,2015-12-30 16:10:09 UTC,,
82992,51052,4200,5,2015-12-30 19:11:16 UTC,2015-12-30 19:11:16 UTC,,
82993,51045,4200,4,2015-12-30 19:11:17 UTC,2015-12-30 19:11:17 UTC,,
91117,57762,4413,26,2016-01-02 17:22:12 UTC,2016-01-02 17:22:12 UTC,2016-01-02 17:22:16 UTC,other
91116,57757,4413,24,2016-01-02 17:21:21 UTC,2016-01-02 17:21:21 UTC,,
91121,57765,4413,27,2016-01-02 17:24:29 UTC,2016-01-02 17:24:29 UTC,,
97027,61575,4579,3,2016-01-05 17:57:26 UTC,2016-01-05 17:57:26 UTC,,
105193,65051,4720,11,2016-01-09 01:56:58 UTC,2016-01-09 01:56:58 UTC,,
106103,65518,57,14,2016-01-09 15:53:42 UTC,2016-01-09 15:53:42 UTC,2016-01-09 16:39:54 UTC,other
106415,14501,1951,8,2016-01-09 18:50:36 UTC,2016-01-09 18:50:36 UTC,,
106416,14497,1951,7,2016-01-09 18:50:36 UTC,2016-01-09 18:50:36 UTC,,
106417,14493,1951,6,2016-01-09 18:50:37 UTC,2016-01-09 18:50:37 UTC,,
106420,13737,1951,5,2016-01-09 18:50:39 UTC,2016-01-09 18:50:39 UTC,,
106421,11870,1951,4,2016-01-09 18:50:40 UTC,2016-01-09 18:50:40 UTC,,
106411,65757,1951,14,2016-01-09 18:50:27 UTC,2016-01-09 18:50:27 UTC,,
106412,65755,1951,12,2016-01-09 18:50:29 UTC,2016-01-09 18:50:29 UTC,,
106413,65753,1951,11,2016-01-09 18:50:30 UTC,2016-01-09 18:50:30 UTC,,
106414,65747,1951,9,2016-01-09 18:50:33 UTC,2016-01-09 18:50:33 UTC,,
106422,11869,1951,3,2016-01-09 18:50:41 UTC,2016-01-09 18:50:41 UTC,,
106424,11868,1951,2,2016-01-09 18:50:43 UTC,2016-01-09 18:50:43 UTC,,
106425,11866,1951,1,2016-01-09 18:50:44 UTC,2016-01-09 18:50:44 UTC,,
109989,67991,3271,104,2016-01-10 22:35:51 UTC,2016-01-10 22:35:51 UTC,,
113786,70317,4755,142,2016-01-12 18:52:13 UTC,2016-01-12 18:52:13 UTC,,
113787,70318,4755,143,2016-01-12 18:52:15 UTC,2016-01-12 18:52:15 UTC,,
