visited_at,posts_read,mobile,time_read
2016-11-11,0,false,0
2016-11-14,3,false,6
2016-11-15,1,false,2
2016-11-16,0,false,0
2016-11-18,0,false,0
2016-11-19,0,false,0
2016-11-20,0,false,0
2016-11-24,0,false,0
2016-11-27,0,false,0
2016-11-29,0,false,0
2016-12-02,0,false,0
2016-12-05,0,false,0
2016-12-07,3,false,6
2016-12-09,0,false,0
2016-12-10,0,false,0
2016-12-11,0,false,0
2016-12-15,0,false,0
2016-12-17,0,false,0
2016-12-18,0,false,0
2016-12-21,0,false,0
2016-12-26,0,false,0
2016-12-29,0,false,0
2016-12-31,0,false,0
2017-01-01,0,false,0
2017-01-02,0,false,0
2017-01-03,0,false,0
2017-01-04,31,false,61
2017-01-05,0,false,0
2017-01-06,17,false,33
2017-01-07,0,false,0
2017-01-08,5,false,10
2017-01-09,5,false,10
2017-01-10,14,false,27
2017-01-11,0,false,0
2017-01-12,0,false,0
2017-01-14,0,false,0
2017-01-17,0,false,0
2017-01-18,0,false,0
2017-01-20,4,false,8
2017-01-22,0,false,0
2017-01-23,3,false,6
2017-01-24,0,false,0
2017-01-25,0,false,0
2017-01-26,0,false,0
2017-01-27,0,false,0
2017-01-28,0,false,0
2017-01-29,0,false,0
2017-01-30,854,false,1668
2017-01-31,7280,false,14223
2017-02-01,249,false,486
2017-02-02,1435,false,2804
2017-02-03,1365,false,2667
2017-02-04,43,false,84
2017-02-05,3269,false,6387
2017-02-06,330,false,645
2017-02-08,93,false,182
2017-02-09,6,false,12
2017-02-11,16,false,31
2017-02-13,284,false,555
2017-02-14,69,false,135
2017-02-15,302,false,590
2017-02-16,6575,false,12846
2017-02-17,1800,false,3517
2017-02-18,243,false,475
2017-02-19,82,false,160
2017-02-20,0,false,0
2017-02-21,0,false,0
2017-02-24,13,false,25
2017-02-25,358,false,699
2017-02-26,413,false,807
2017-02-27,667,false,1303
2017-02-28,5,false,10
2017-03-01,0,false,0
2017-03-02,70,false,137
2017-03-03,6,false,12
2017-03-04,64,false,125
2017-03-05,450,false,879
2017-03-06,12,false,23
2017-03-07,2,false,4
2017-03-08,0,false,0
2017-03-09,17,false,33
2017-03-10,19,false,37
2017-03-12,41,false,80
2017-03-13,19,false,37
2017-03-14,3154,false,6162
2017-03-15,463,false,905
2017-03-16,36,false,70
2017-03-17,43,false,84
2017-03-18,6042,false,11804
2017-03-19,62,false,121
2017-03-20,574,false,1121
2017-03-21,486,false,949
2017-03-22,2007,false,3921
2017-03-23,268,false,524
2017-03-24,331,false,647
2017-03-25,4309,false,8419
2017-03-26,340,false,664
2017-03-27,42,false,82
2017-03-28,657,false,1284
2017-03-29,970,false,1895
2017-03-30,118,false,231
2017-03-31,197,false,385
2017-04-01,11,false,21
2017-04-02,0,false,0
2017-04-03,104,false,203
2017-04-04,8,false,16
2017-04-05,5,false,10
2017-04-06,3,false,6
2017-04-07,13,false,25
2017-04-08,16,false,31
2017-04-09,46,false,90
2017-04-10,22,false,43
2017-04-11,1495,false,2921
2017-04-12,19,false,37
2017-04-13,437,false,854
2017-04-14,0,false,0
2017-04-15,16,false,31
2017-04-16,1,false,2
2017-04-17,1488,false,2907
2017-04-18,335,false,654
2017-04-19,12596,false,24609
2017-04-20,3750,false,7326
2017-04-21,5173,false,10106
2017-04-22,808,false,1579
2017-04-23,579,false,1131
2017-04-24,3777,false,7379
2017-04-25,2518,false,4919
2017-04-26,854,false,1668
2017-04-27,875,false,1709
2017-04-28,17011,false,33234
2017-04-29,238,false,465
2017-04-30,10,false,20
2017-05-01,595,false,1162
2017-05-02,1317,false,2573
2017-05-03,229,false,447
2017-05-04,65,false,127
2017-05-05,70,false,137
2017-05-06,1950,false,3810
2017-05-07,46,false,90
2017-05-08,922,false,1801
2017-05-09,623,false,1217
2017-05-10,1313,false,2565
2017-05-11,11659,false,22778
2017-05-12,4089,false,7989
2017-05-13,602,false,1176
2017-05-14,1579,false,3085
2017-05-15,168,false,328
2017-05-16,705,false,1377
2017-05-17,6164,false,12043
2017-05-18,100,false,195
2017-05-19,367,false,717
2017-05-20,182,false,356
2017-05-21,2531,false,4945
2017-05-22,519,false,1014
2017-05-23,72,false,141
2017-05-24,410,true,801
2017-05-25,286,true,559
2017-05-26,118,false,231
2017-05-27,1053,false,2057
2017-05-28,1114,false,2176
2017-05-29,729,false,1424
2017-05-30,465,false,908
2017-05-31,8618,false,16837
2017-06-01,492,false,961
2017-06-02,209,false,408
2017-06-03,12,false,23
2017-06-04,2121,false,4144
2017-06-05,72,false,141
2017-06-06,16,false,31
2017-06-07,171,false,334
2017-06-08,183,false,358
2017-06-09,2538,false,4958
2017-06-10,1474,false,2880
2017-06-11,173,false,338
2017-06-12,57,false,111
2017-06-13,6035,false,11791
2017-06-14,233,false,455
2017-06-15,3098,false,6053
2017-06-16,29,false,57
2017-06-17,263,false,514
2017-06-18,12660,false,24734
2017-06-19,4453,false,8700
2017-06-20,2338,false,4568
2017-06-21,4991,false,9751
2017-06-22,2537,false,4957
2017-06-23,1289,false,2518
2017-06-24,787,false,1538
2017-06-25,17,true,33
2017-06-26,498,false,973
2017-06-27,6619,false,12932
2017-06-28,6961,true,13600
2017-06-29,910,false,1778
2017-06-30,251,false,490
2017-07-01,85,false,166
2017-07-02,53,false,104
2017-07-03,482,false,942
2017-07-04,736,false,1438
2017-07-05,1994,false,3896
2017-07-06,677,false,1323
2017-07-07,3318,false,6482
2017-07-08,495,false,967
2017-07-09,1,false,2
2017-07-15,1076,false,2102
2017-07-16,8,false,16
2017-07-22,6139,false,11994
2017-07-23,13,false,25
2017-07-25,57,false,111
2017-07-26,1585,false,3097
2017-07-27,653,false,1276
2017-07-28,722,false,1411
2017-07-29,90,false,176
2017-07-30,336,false,656
2017-07-31,100,false,195
2017-08-01,12,false,23
2017-08-02,651,false,1272
2017-08-03,46,false,90
2017-08-04,75,false,147
2017-08-05,4126,false,8061
2017-08-06,217,false,424
2017-08-07,102,false,199
2017-08-08,19,false,37
2017-08-09,8,false,16
2017-08-10,8,false,16
2017-08-11,378,false,738
2017-08-12,0,false,0
2017-08-13,0,false,0
2017-08-14,0,false,0
2017-08-15,630,false,1231
2017-08-16,0,false,0
2017-08-17,6233,false,12177
2017-08-18,26,false,51
2017-08-19,10,false,20
2017-08-20,1,false,2
2017-08-21,32,false,63
2017-08-22,14,false,27
2017-08-23,4,false,8
2017-08-24,0,false,0
2017-08-25,9,false,18
2017-08-26,0,false,0
2017-08-27,0,false,0
2017-08-29,2761,false,5394
2017-08-30,2,false,4
2017-08-31,761,false,1487
2017-09-01,9,false,18
2017-09-02,0,false,0
2017-09-04,8,false,16
2017-09-05,4,false,8
2017-09-06,470,false,918
2017-09-07,1,false,2
2017-09-08,44,false,86
2017-09-09,5174,false,10108
2017-09-10,632,false,1235
2017-09-11,6,false,12
2017-09-12,9,false,18
2017-09-13,721,false,1409
2017-09-14,30,false,59
2017-09-15,0,false,0
2017-09-16,11592,false,22647
2017-09-17,409,false,799
2017-09-18,878,false,1715
2017-09-19,0,false,0
2017-09-20,2,false,4
2017-09-21,238,false,465
2017-09-22,0,false,0
2017-09-23,0,false,0
2017-09-24,0,false,0
2017-09-25,0,false,0
2017-09-26,0,false,0
2017-09-27,0,false,0
2017-09-28,1,false,2
2017-09-29,0,false,0
2017-09-30,0,false,0
2017-10-01,0,false,0
2017-10-02,0,false,0
2017-10-03,0,false,0
2017-10-04,0,false,0
2017-10-07,1,false,2
2017-10-08,0,false,0
2017-10-09,26,false,51
2017-10-10,2,false,4
2017-10-11,0,false,0
2017-10-12,0,false,0
2017-10-13,2,false,4
2017-10-14,5,false,10
2017-10-15,0,false,0
2017-10-16,0,false,0
2017-10-17,159,false,311
2017-10-18,262,false,512
2017-10-19,0,false,0
